class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,[[ 0.  0.  0.  0.  0.]
 [51.  0.  0.  0.  0.]
 [79.  0.  0.  0.  0.]
 [81.  0.  0.  0.  0.]
 [59.  0.  0.  0.  0.]],0.0,0.0,1.3276248246130318,1.0493743163347244
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,[[ 0.  0.  0.  0.  0.]
 [51.  0.  0.  0.  0.]
 [79.  0.  0.  0.  0.]
 [81.  0.  0.  0.  0.]
 [59.  0.  0.  0.  0.]],0.0,0.0,1.0052533827044747,1.035003622174263
0.16866666666666666,0.13,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,[[ 0. 31.  0.  0.  0.]
 [27. 24.  0.  0.  0.]
 [64. 15.  0.  0.  0.]
 [71. 10.  0.  0.  0.]
 [59.  0.  0.  0.  0.]],0.0325,0.07,0.9800288927073431,0.9923765647411347
0.10333333333333332,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,4,[[ 0.  2.  0.  0.  0.]
 [42.  9.  0.  0.  0.]
 [78.  1.  0.  0.  0.]
 [78.  2.  0.  0.  1.]
 [44.  0.  0.  0. 15.]],0.0625,0.065,0.9319061432221923,0.9482997837662697
0.195,0.16666666666666669,0.26,0.0,0.0,0.0,0.01,0.01,0.01,0.2766666666666666,0.275,0.28,5,[[ 0. 21.  0.  0.  0.]
 [30. 21.  0.  0.  0.]
 [70.  9.  0.  0.  0.]
 [68.  8.  0.  1.  4.]
 [32.  0.  0.  0. 27.]],0.11291666666666667,0.1375,0.886778743730651,0.9289148956537246
0.08666666666666666,0.085,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.32,6,[[ 0.  1.  0.  0.  1.]
 [43.  8.  0.  0.  0.]
 [74.  1.  0.  0.  4.]
 [61.  1.  0.  0. 19.]
 [30.  0.  0.  0. 29.]],0.10125,0.1025,0.8723293842390331,0.913870335817337
0.16333333333333333,0.15666666666666668,0.18,0.04,0.04,0.04,0.01,0.01,0.01,0.33333333333333326,0.33,0.34,7,[[ 0.  8.  1.  0.  1.]
 [33. 15.  3.  0.  0.]
